day_num,date,symbol,entry,target,stop_loss,outcome,pnl_pct
1,2025-06-02,SBIN,816.0,840.48,799.68,SQUARE_OFF,-0.30637254901960786
2,2025-06-03,ADANIPORTS,1472.1,1516.263,1442.658,NO_ENTRY,0.0
3,2025-06-04,GRASIM,2573.2,2650.3959999999997,2521.736,NO_ENTRY,0.0
3,2025-06-04,UNITDSPR,1598.8999999999999,1646.867,1566.9219999999998,NO_ENTRY,0.0
4,2025-06-05,BHARTIARTL,1884.1,1940.623,1846.418,SQUARE_OFF,-0.3237620083859619
4,2025-06-05,UPL,647.0500000000001,666.4615000000001,634.109,SQUARE_OFF,-0.22409396491771044
5,2025-06-06,BEL,396.95000000000005,408.85850000000005,389.011,NO_ENTRY,0.0
5,2025-06-06,CIPLA,1495.1,1539.953,1465.1979999999999,SQUARE_OFF,0.6153434552872749
5,2025-06-06,DRREDDY,1309.8999999999999,1349.1970000000001,1283.7019999999998,SQUARE_OFF,0.7481487136422768
5,2025-06-06,RELIANCE,1445.0,1488.3500000000001,1416.1,SQUARE_OFF,-0.13840830449826988
5,2025-06-06,UNITDSPR,1627.6999999999998,1676.531,1595.1459999999997,NO_ENTRY,0.0
6,2025-06-09,AXISBANK,1215.6,1252.0680000000002,1191.2879999999998,SQUARE_OFF,0.4030931227377502
6,2025-06-09,BAJAJFINSV,2011.1,2071.433,1970.878,SQUARE_OFF,0.49226791308239726
6,2025-06-09,BAJFINANCE,955.1,983.7529999999999,935.998,SQUARE_OFF,0.7747879803161949
6,2025-06-09,CIPLA,1511.8,1557.154,1481.5639999999999,NO_ENTRY,0.0
6,2025-06-09,DRREDDY,1329.1,1368.973,1302.5179999999998,NO_ENTRY,0.0
6,2025-06-09,HDFCBANK,1995.1,2054.953,1955.1979999999999,NO_ENTRY,0.0
6,2025-06-09,HINDUNILVR,2399.1,2471.073,2351.118,NO_ENTRY,0.0
6,2025-06-09,INDUSINDBK,834.0,859.0200000000001,817.3199999999999,SQUARE_OFF,0.2398081534772182
6,2025-06-09,JIOFIN,300.85,309.8755,294.833,SQUARE_OFF,1.529001163370439
6,2025-06-09,M&M,3141.1,3235.333,3078.278,NO_ENTRY,0.0
6,2025-06-09,MARUTI,12612.1,12990.463,12359.858,SQUARE_OFF,0.2925761768460418
6,2025-06-09,POWERGRID,298.1,307.043,292.13800000000003,SQUARE_OFF,0.7883260650788211
6,2025-06-09,SHRIRAMFIN,716.0,737.48,701.68,NO_ENTRY,0.0
7,2025-06-10,ADANIENT,2605.6,2683.768,2553.488,SQUARE_OFF,0.47589806570463966
